GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_6: Population density per square kilometre
9330026.00,CT,0026.00,1.2593,4793,1976,1853,3806.1
9330027.01,CT,0027.01,1.2742,4138,1591,1502,3247.5
9330027.02,CT,0027.02,1.0312,3589,1513,1395,3480.4
9330028.00,CT,0028.00,1.4746,3121,1331,1232,2116.5
9330029.00,CT,0029.00,1.5016,7390,3365,3179,4921.4
9330030.00,CT,0030.00,1.4562,7346,3126,2910,5044.6
9330031.01,CT,0031.01,0.8985,6159,2773,2598,6854.8
9330031.02,CT,0031.02,0.6934,4566,1969,1842,6584.9
9330032.01,CT,0032.01,0.5797,4639,2064,1897,8002.4
9330032.02,CT,0032.02,0.6622,5058,2297,2141,7638.2
9330033.01,CT,0033.01,0.6823,5007,2094,1930,7338.4
9330033.02,CT,0033.02,0.4472,2977,1137,1043,6657
9330034.01,CT,0034.01,0.6734,6112,2488,2336,9076.3
9330034.02,CT,0034.02,1.3371,7476,2834,2638,5591.2
9330035.01,CT,0035.01,0.7209,4369,1754,1647,6060.5
9330035.02,CT,0035.02,1.534,6793,2845,2676,4428.3
9330036.01,CT,0036.01,1.3696,6218,2312,2167,4540
9330036.02,CT,0036.02,1.4685,6125,2232,2128,4170.9
9330037.01,CT,0037.01,0.6017,5032,2200,2068,8363
9330037.02,CT,0037.02,0.519,3503,1655,1554,6749.5
9330038.00,CT,0038.00,0.589,6742,3660,3503,11446.5
9330039.01,CT,0039.01,0.7142,6284,3721,3523,8798.7
9330039.02,CT,0039.02,0.6033,5874,3235,3050,9736.4
9330040.01,CT,0040.01,0.2705,4131,2972,2816,15271.7
9330040.02,CT,0040.02,0.3166,4501,3055,2889,14216.7
9330041.01,CT,0041.01,0.381,4511,2981,2778,11839.9
9330041.02,CT,0041.02,1.0012,7993,4180,3954,7983.4
9330042.00,CT,0042.00,1.0874,6591,3001,2744,6061.2
9330043.01,CT,0043.01,0.7113,3953,1935,1732,5557.4
9330043.02,CT,0043.02,0.9967,4311,1776,1630,4325.3
9330044.00,CT,0044.00,2.8772,4622,2268,2095,1606.4
9330045.01,CT,0045.01,0.673,4821,2567,2381,7163.4
9330045.02,CT,0045.02,0.7334,5915,3012,2822,8065.2
9330046.00,CT,0046.00,0.4919,5349,3152,3023,10874.2
9330047.01,CT,0047.01,0.333,3784,2417,2261,11363.4
9330047.02,CT,0047.02,0.3916,4200,2827,2678,10725.2
9330048.01,CT,0048.01,0.8336,5828,3649,3481,6991.4
9330048.02,CT,0048.02,0.3864,2590,1593,1518,6702.9
9330049.02,CT,0049.02,0.8513,5996,3294,3167,7043.3
9330049.03,CT,0049.03,0.2532,2991,1699,1623,11812.8
9330049.04,CT,0049.04,0.2506,3375,1882,1816,13467.7
9330049.05,CT,0049.05,0.6446,1291,1012,739,2002.8
9330049.06,CT,0049.06,0.4025,8739,5490,5060,21711.8
9330050.02,CT,0050.02,0.6813,6240,3631,3462,9159
9330050.03,CT,0050.03,1.293,6935,4441,4256,5363.5
9330050.04,CT,0050.04,0.3066,3196,2009,1865,10424
9330051.01,CT,0051.01,0.5443,3252,1418,1309,5974.6
9330051.02,CT,0051.02,0.755,4608,1942,1825,6103.3
9330052.01,CT,0052.01,1.2612,6461,2659,2466,5122.9
9330052.02,CT,0052.02,1.3256,6242,2481,2291,4708.8
9330053.01,CT,0053.01,2.6249,6701,2889,2690,2552.9
9330053.02,CT,0053.02,0.798,3819,1656,1543,4785.7
9330054.01,CT,0054.01,0.586,3855,1693,1584,6578.5
9330054.02,CT,0054.02,0.7927,4638,1815,1727,5850.9
9330055.01,CT,0055.01,0.8045,5425,2842,2673,6743.3
9330055.02,CT,0055.02,0.6522,4406,2574,2463,6755.6
9330056.01,CT,0056.01,1.1288,4077,2506,2353,3611.8
9330056.02,CT,0056.02,0.6673,4467,2457,2320,6694.1
9330057.01,CT,0057.01,0.2311,3492,1841,1708,15110.3
9330057.02,CT,0057.02,1.6262,5012,2568,2373,3082
9330058.00,CT,0058.00,1.0881,4151,2231,2031,3814.9
9330059.07,CT,0059.07,0.2539,5646,3504,3153,22237.1
9330059.08,CT,0059.08,0.3375,7131,3842,3579,21128.9
9330059.09,CT,0059.09,0.1998,7976,5538,5172,39919.9
9330059.10,CT,0059.10,0.1992,7089,4661,4299,35587.3
9330059.11,CT,0059.11,0.8597,8566,5500,4956,9963.9
9330059.13,CT,0059.13,0.319,5079,3136,2789,15921.6
9330059.15,CT,0059.15,0.1499,4958,3071,2795,33075.4
9330059.16,CT,0059.16,0.4407,5527,3260,2976,12541.4
9330059.17,CT,0059.17,0.5663,5200,3556,3086,9182.4
9330059.18,CT,0059.18,0.2148,2943,1792,1634,13701.1
9330060.01,CT,0060.01,0.1486,3184,2212,2080,21426.6
9330060.02,CT,0060.02,0.2319,5799,4125,3791,25006.5
9330061.00,CT,0061.00,0.2121,5275,3825,3527,24870.3
9330062.00,CT,0062.00,0.168,3390,2487,2273,20178.6
9330063.00,CT,0063.00,0.1851,4492,3145,2763,24268
9330064.00,CT,0064.00,0.2389,4870,3365,3188,20385.1
9330065.00,CT,0065.00,0.241,6799,4693,4257,28211.6
9330066.01,CT,0066.01,0.1283,3370,2108,1803,26266.6
9330066.02,CT,0066.02,0.4281,6363,3871,3399,14863.3
9330067.01,CT,0067.01,0.1863,3724,2714,2514,19989.3
9330067.02,CT,0067.02,0.2208,5126,3177,2799,23215.6
9330068.00,CT,0068.00,4.0575,4940,3625,3360,1217.5
9330069.02,CT,0069.02,9.0083,7309,3932,3226,811.4
9330069.03,CT,0069.03,2.3592,8177,3450,3048,3466
9330069.04,CT,0069.04,3.1091,2810,1537,1272,903.8
9330100.01,CT,0100.01,0.9705,4231,1751,1657,4359.6
9330100.02,CT,0100.02,2.8838,8093,3813,3592,2806.4
9330101.03,CT,0101.03,0.3386,5683,3511,3370,16783.8
