Route,Stop,Time Period,Avg Headway,Std Headway,Min Headway,Max Headway,Count,Bunching Rate %
319,Northbound Scott Rd @ Holt Rd,Midday,10.862121212121211,4.811635728506303,0.7,16.4,11,9.090909090909092
250,Northbound Marine Dr @ Westport Rd,Morning Rush,16.136363636363637,8.647696604625798,1.4166666666666667,27.5,11,9.090909090909092
250,Northbound Marine Dr @ Primrose Place,Morning Rush,16.0530303030303,8.648377555555397,1.4166666666666667,27.5,11,9.090909090909092
319,Northbound Scott Rd @ 90 Ave,Midday,10.916666666666666,4.837199603076144,0.5666666666666667,16.433333333333334,11,9.090909090909092
180,Westbound St. Johns St @ Barnet Hwy,Morning Rush,15.022727272727273,9.439386375793458,0.26666666666666666,29.316666666666666,11,9.090909090909092
250,Northbound Marine Dr @ Greentree Rd,Morning Rush,16.38939393939394,8.64337984537965,1.4166666666666667,27.5,11,9.090909090909092
319,Northbound Scott Rd @ 99 Ave,Midday,10.57878787878788,4.637762217259351,1.2,16.2,11,9.090909090909092
250,Northbound Marine Dr @ 5200 Block,Morning Rush,16.44848484848485,8.602139444946415,1.4166666666666667,27.5,11,9.090909090909092
R1,Surrey Central Station @ Bay 13,Morning Rush,10.335606060606061,4.204810470958364,0.3333333333333333,15.0,22,9.090909090909092
501,Northbound 200 St @ 84 Ave,Morning Rush,10.840909090909092,7.237266072352197,0.55,27.816666666666666,11,9.090909090909092
026,Southbound Joyce St @ Kingsway,Morning Rush,17.616666666666667,8.634128020053135,0.7333333333333333,27.866666666666667,11,9.090909090909092
319,Northbound Scott Rd @ 93A Ave,Midday,10.786363636363637,4.605327942128058,1.2333333333333334,16.45,11,9.090909090909092
319,Northbound Scott Rd @ 96 Ave,Midday,10.715151515151517,4.376918338444772,1.8666666666666667,16.35,11,9.090909090909092
501,Northbound 200 St @ 80 Ave,Morning Rush,11.122727272727273,7.227652426338693,0.55,28.2,11,9.090909090909092
026,Southbound Joyce St @ E 41 Ave,Morning Rush,17.53030303030303,8.5869436361316,0.7333333333333333,27.866666666666667,11,9.090909090909092
319,Northbound Scott Rd @ 98 Ave,Midday,10.604545454545455,4.424609781344759,2.05,16.316666666666666,11,9.090909090909092
501,Northbound Willowbrook Dr @ 19600 Block,Morning Rush,13.912121212121212,8.246312613354633,0.5333333333333333,29.2,11,9.090909090909092
009,Eastbound W Broadway @ Ash St,Morning Rush,9.701515151515151,5.381618993557886,0.7,23.4,22,9.090909090909092
019,Eastbound Kingsway @ St. Catherines St,Midday,8.25,3.3332166646249286,1.95,12.333333333333334,11,9.090909090909092
009,Eastbound W Broadway @ Columbia St,Morning Rush,9.431060606060605,5.026401974670034,0.7,20.75,22,9.090909090909092
250,Northbound Marine Dr @ Greenleaf Rd,Morning Rush,16.206060606060603,8.567695375093821,1.4166666666666667,27.5,11,9.090909090909092
009,Eastbound E Broadway @ Victoria Dr,Morning Rush,9.442424242424243,4.848413058631575,0.03333333333333333,16.166666666666668,22,9.090909090909092
408,Westbound Williams Rd @ Ash St,Morning Rush,21.96969696969697,19.115114465001277,2.3,57.166666666666664,11,9.090909090909092
250,Westbound Marine Dr @ Sharon Dr,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
026,Eastbound E 45 Ave @ Doman St,Morning Rush,17.43939393939394,8.639065898345699,0.7333333333333333,27.85,11,9.090909090909092
255,Eastbound E 15 St @ Lonsdale Ave,Morning Rush,17.115151515151517,7.345866012577921,0.75,26.85,11,9.090909090909092
255,Eastbound E 15 St @ St. Andrews Ave,Morning Rush,16.946969696969695,7.210624176179272,0.75,26.85,11,9.090909090909092
319,Northbound Scott Rd @ 103A Ave,Midday,10.513636363636364,4.4721596708091855,1.55,16.333333333333332,11,9.090909090909092
255,Eastbound E 15 St @ St. Georges Ave,Morning Rush,17.11969696969697,7.3436814041498675,0.75,26.85,11,9.090909090909092
160,Eastbound Wilson Ave @ Shaughnessy St,Morning Rush,9.518181818181818,5.239361997554105,1.3166666666666667,20.35,11,9.090909090909092
160,Eastbound Wilson Ave @ Mary Hill Rd,Morning Rush,9.409090909090908,5.366606436703241,0.7,20.366666666666667,11,9.090909090909092
160,Eastbound Lougheed Hwy @ Westwood St,Morning Rush,9.546969696969697,3.897590553304967,2.3666666666666667,15.366666666666667,11,9.090909090909092
