Route,From Stop,To Stop,Time Period,Avg Delay (min),Std Delay,Sample Count,Speed Reduction %
019,Eastbound Kingsway @ Wessex St,Eastbound Kingsway @ Tyne St,Morning Rush,0.3208333333333333,1.0327654778136914,20,7.308114978753852
722,Eastbound 122 Ave @ 191B St,Pitt Meadows Station @ Bay 1,Morning Rush,0.3208333333333333,0.08319432851039966,4,23.480824325122565
175,Westbound Wilson Ave @ Mary Hill Rd,Westbound Wilson Ave @ Shaughnessy St,Morning Rush,0.3208333333333333,0.5009943815756523,4,25.32424812030076
014,Westbound W 10 Ave @ Tolmie St,Westbound University Blvd @ Blanca St,Midday,0.32037037037037036,0.3427602192513516,9,29.186125261678416
049,Westbound E 49 Ave @ Prince Edward St,Westbound E 49 Ave @ Main St,Midday,0.32028985507246377,0.3550130358162542,23,16.63262456633407
134,Southbound Sperling Ave @ Union St,Southbound Sperling Ave @ Curtis St,Midday,0.32,0.5915375445960016,5,18.15392015392015
106,Edmonds Station @ Bay 4,Eastbound Edmonds St @ 18 St,Morning Rush,0.31960784313725493,0.6110167782213299,17,9.167965710342617
010,Southbound Granville St @ W 68 Ave,Southbound Granville St @ W 70 Ave,Morning Rush,0.3194444444444444,0.7272530913124601,18,-47.76586184614079
324,Southbound 132 St @ 69A Ave,Eastbound 68 Ave @ 132 St,Morning Rush,0.31923076923076926,0.23411042759281847,13,21.807830776385646
531,Westbound 36 Ave @ 194 St,Southbound 192 St @ 36 Ave,Midday,0.3190476190476191,0.4809739897707347,7,17.093746337747568
009,Westbound E Broadway @ Prince Albert St,Westbound E Broadway @ Fraser St,Morning Rush,0.31875000000000003,0.32315296403445104,24,10.575566105833643
041,Eastbound W 41 Ave @ Balsam St,Eastbound W 41 Ave @ Yew St,Morning Rush,0.31851851851851853,0.30858568840416467,18,27.23430367870548
255,Westbound Marine Dr @ 17 St,Westbound Marine Dr @ 18 St,Morning Rush,0.31833333333333336,0.399880383349389,10,27.55736903065204
189,Southbound Pipeline Rd @ Windsor Gate,Southbound Westwood St @ Lincoln Ave,Morning Rush,0.3183333333333333,0.4498593744606457,10,15.068305852914543
031,Northbound Matheson Cres @ Borham Cres,Eastbound Arbor Ave @ Matheson Cres,Morning Rush,0.3183333333333333,0.11343405110731648,10,43.456051987904786
323,Eastbound 76 Ave @ 134A St,Eastbound 76 Ave @ King George Blvd,Midday,0.3178571428571429,0.28045020931052966,14,17.74290416907167
022,Westbound W Pender St @ Hamilton St,Westbound W Pender St @ Seymour St,Midday,0.31777777777777777,0.5727775083521298,15,15.021773055318866
410,Lansdowne Station @ Bay 4,Southbound No. 3 Rd @ Westminster Hwy,Midday,0.31777777777777777,0.4572375067359824,15,7.8145550495381935
041,Westbound E 41 Ave @ Fleming St,Westbound E 41 Ave @ Knight St,Morning Rush,0.3175925925925926,0.2677961510253539,18,22.030323809030993
023,Eastbound Pacific St @ Richards St,Yaletown-Roundhouse Station @ Bay 4,Morning Rush,0.3175,0.5337573698081941,20,10.357275391985592
352,Northbound 128 St @ 26B Ave,Eastbound Crescent Rd @ 128 St,Morning Rush,0.3166666666666667,0.348010216963685,3,39.57969172095978
129,Patterson Station @ Bay 1,Northbound Barker Ave @ Grange St,Morning Rush,0.3166666666666667,0.6363961030678928,2,13.766233766233757
741,Northbound 227 St @ 124 Ave,Northbound 227 St @ Balabanian Circle,Morning Rush,0.3166666666666667,0.9580071908799942,7,-2.7717807150160803
363,Westbound Cranley Dr @ 157A St,Eastbound 24 Ave @ 157 St,Midday,0.3166666666666667,0.4106904755003051,6,24.092110479714552
N24,Eastbound W Georgia St @ Burrard St,Eastbound W Georgia St @ Granville St,Morning Rush,0.3166666666666667,0.44190245278542845,3,25.16337780050861
345,Southbound 152 St @ 64 Ave,Southbound 152 St @ 62A Ave,Midday,0.31666666666666665,0.9382311963358378,3,-13.826958105646618
253,Eastbound Caulfeild Dr @ Headland Dr,Eastbound Caulfeild Dr @ Estevan Place,Morning Rush,0.31666666666666665,0.44783429475148007,2,22.352941176470587
413,Southbound Railway Ave @ Garry St,Westbound Moncton St @ Railway Ave,Midday,0.31666666666666665,0.3535533905932738,2,40.77112387202625
211,Northbound Homer St @ W Pender St,Eastbound W Cordova St @ Homer St,Midday,0.31666666666666665,0.09501461875826152,5,39.10860728172499
